year,country_origin_id,country_destination_id,hs92_product_id,export_val,export_val_pct
1998,YUG,THA,ALL,794714.93,0.0029%
1998,YUG,TJK,ALL,601000,0.0022%
1998,YUG,TKM,ALL,148000,0.00054%
1998,YUG,TUR,ALL,22210912.44,0.081%
1998,YUG,UZB,ALL,1448000,0.0053%
1998,YUG,XXB,ALL,189000,0.00069%
1998,YUG,YEM,ALL,626000,0.0023%
1998,YUG,ALB,ALL,1543142.11,0.0056%
1998,YUG,AUT,ALL,55523298.49,0.20%
1998,YUG,BGR,ALL,42294142.32,0.15%
1998,YUG,BIH,ALL,232047000,0.84%
1998,YUG,BLR,ALL,7422884.06,0.027%
1998,YUG,BLX,ALL,25426614.96,0.093%
1998,YUG,CHE,ALL,237738410.5,0.87%
1998,YUG,CZE,ALL,21679366.49,0.079%
1998,YUG,DEU,ALL,364752275.66,1.3%
1998,YUG,DNK,ALL,11720574.1,0.043%
1998,YUG,ESP,ALL,46687136.4,0.17%
1998,YUG,EST,ALL,800315,0.0029%
1998,YUG,FIN,ALL,2240433.06,0.0082%
1998,YUG,FRA,ALL,109816136.76,0.40%
1998,YUG,GBR,ALL,96426422.06,0.35%
1998,YUG,GIB,ALL,2000,0.0000073%
1998,YUG,GRC,ALL,104442026.84,0.38%
1998,YUG,HRV,ALL,17564242.78,0.064%
1998,YUG,HUN,ALL,60619097.48,0.22%
1998,YUG,IRL,ALL,3409527,0.012%
1998,YUG,ISL,ALL,1143052.23,0.0042%
1998,YUG,ITA,ALL,401960568.28,1.5%
1998,YUG,LTU,ALL,1289135.93,0.0047%
1998,YUG,LVA,ALL,1750356.48,0.0064%
1998,YUG,MDA,ALL,1639056.14,0.0060%
1998,YUG,MKD,ALL,243292407.26,0.89%
1998,YUG,MLT,ALL,1310978.7,0.0048%
1998,YUG,NLD,ALL,38912994.73,0.14%
1998,YUG,NOR,ALL,18502274.59,0.067%
1998,YUG,POL,ALL,31943572.65,0.12%
1998,YUG,PRT,ALL,14401742.7,0.052%
1998,YUG,ROU,ALL,43636462.86,0.16%
1998,YUG,RUS,ALL,154789378.26,0.56%
1998,YUG,SVK,ALL,23028239.67,0.084%
1998,YUG,SVN,ALL,64679456.7,0.24%
1998,YUG,SWE,ALL,11789490.78,0.043%
1998,YUG,UKR,ALL,28467161.8,0.10%
1998,YUG,ANT,ALL,18000,0.000066%
1998,YUG,BHS,ALL,17000,0.000062%
1998,YUG,BRB,ALL,19771.45,0.000072%
1998,YUG,CAN,ALL,4795276.05,0.017%
1998,YUG,CRI,ALL,220120,0.00080%
1998,YUG,CUB,ALL,12000,0.000044%
1998,YUG,DMA,ALL,333000,0.0012%
1998,YUG,GRL,ALL,14289,0.000052%
1998,YUG,GTM,ALL,17333,0.000063%
1998,YUG,HND,ALL,543000,0.0020%
1998,YUG,JAM,ALL,290780.19,0.0011%
1998,YUG,MEX,ALL,7285411.42,0.027%
1998,YUG,MSR,ALL,76000,0.00028%
1998,YUG,NIC,ALL,26000,0.000095%
1998,YUG,PAN,ALL,368000,0.0013%
1998,YUG,SLV,ALL,433943,0.0016%
1998,YUG,TCA,ALL,22000,0.000080%
1998,YUG,USA,ALL,22889918.43,0.083%
1998,YUG,VGB,ALL,151000,0.00055%
1998,YUG,AUS,ALL,566000,0.0021%
1998,YUG,KIR,ALL,10000,0.000036%
1998,YUG,MHL,ALL,19000,0.000069%
1998,YUG,NIU,ALL,135000,0.00049%
1998,YUG,NZL,ALL,35072.75,0.00013%
1998,YUG,PNG,ALL,32226.74,0.00012%
1998,YUG,PYF,ALL,17256.82,0.000063%
1998,YUG,ARG,ALL,753618.78,0.0027%
1998,YUG,BRA,ALL,1231000,0.0045%
1998,YUG,CHL,ALL,33961.82,0.00012%
1998,YUG,COL,ALL,16255849.18,0.059%
1998,YUG,ECU,ALL,164166.72,0.00060%
