year,country_origin_id,country_destination_id,hs92_product_id,import_val,import_val_pct
1998,YUG,CAN,ALL,11435531.93,0.019%
1998,YUG,CRI,ALL,3572109.54,0.0060%
1998,YUG,CUB,ALL,9710.56,0.000016%
1998,YUG,DMA,ALL,18676.9,0.000031%
1998,YUG,GRD,ALL,99816.37,0.00017%
1998,YUG,GTM,ALL,73133.94,0.00012%
1998,YUG,HND,ALL,272559.02,0.00046%
1998,YUG,JAM,ALL,3787,0.0000063%
1998,YUG,KNA,ALL,17000,0.000029%
1998,YUG,MEX,ALL,2632913.78,0.0044%
1998,YUG,NIC,ALL,126221.42,0.00021%
1998,YUG,PAN,ALL,821937.74,0.0014%
1998,YUG,SLV,ALL,2000,0.0000034%
1998,YUG,TTO,ALL,95695.49,0.00016%
1998,YUG,UMI,ALL,3000,0.0000050%
1998,YUG,USA,ALL,141306031.21,0.24%
1998,YUG,VCT,ALL,15122.48,0.000025%
1998,YUG,VGB,ALL,1602484.78,0.0027%
1998,YUG,AUS,ALL,4467099.45,0.0075%
1998,YUG,COK,ALL,1000,0.0000017%
1998,YUG,KIR,ALL,129000,0.00022%
1998,YUG,MHL,ALL,195008.09,0.00033%
1998,YUG,NRU,ALL,140000,0.00023%
1998,YUG,NZL,ALL,743944.98,0.0012%
1998,YUG,PNG,ALL,15996.34,0.000027%
1998,YUG,TON,ALL,1747.51,0.0000029%
1998,YUG,TUV,ALL,1000,0.0000017%
1998,YUG,WSM,ALL,44208.84,0.000074%
1998,YUG,ARG,ALL,28291892.91,0.047%
1998,YUG,BRA,ALL,66584541.54,0.11%
1998,YUG,CHL,ALL,8931304.51,0.015%
1998,YUG,COL,ALL,7525025.15,0.013%
1998,YUG,ECU,ALL,14166102.32,0.024%
1998,YUG,FLK,ALL,16677.89,0.000028%
1998,YUG,PER,ALL,11538922.96,0.019%
1998,YUG,SUR,ALL,2793.85,0.0000047%
1998,YUG,URY,ALL,87569.66,0.00015%
1998,YUG,VEN,ALL,1979338.23,0.0033%
1999,YUG,BEN,ALL,220400,0.00037%
1999,YUG,BFA,ALL,4589.31,0.0000077%
1999,YUG,CIV,ALL,3374078.29,0.0057%
1999,YUG,CMR,ALL,182162.98,0.00031%
1999,YUG,COD,ALL,10583.14,0.000018%
1999,YUG,COG,ALL,1936.5,0.0000032%
1999,YUG,DZA,ALL,8347589,0.014%
1999,YUG,EGY,ALL,1993641.2,0.0033%
1999,YUG,ERI,ALL,31000,0.000052%
1999,YUG,GHA,ALL,8380224.15,0.014%
1999,YUG,GIN,ALL,637678.46,0.0011%
1999,YUG,KEN,ALL,1572288,0.0026%
1999,YUG,LBR,ALL,207115.14,0.00035%
1999,YUG,LBY,ALL,6655864.11,0.011%
1999,YUG,MAR,ALL,1178964.58,0.0020%
